month,service,total_ridership
2020-03-01,access_a_ride,558330.0
2020-03-01,bridges_and_tunnels,19235070.0
2020-03-01,bus,31871784.0
2020-03-01,lirr,3625224.0
2020-03-01,metro_north,3890767.0
2020-03-01,staten_island_railway,200584.0
2020-03-01,subway,73625223.0
2020-04-01,access_a_ride,181852.0
2020-04-01,bridges_and_tunnels,9916205.0
2020-04-01,bus,471515.0
2020-04-01,lirr,217333.0
2020-04-01,metro_north,244337.0
2020-04-01,staten_island_railway,19677.0
2020-04-01,subway,11730474.0
2020-05-01,access_a_ride,236658.0
2020-05-01,bridges_and_tunnels,15211624.0
2020-05-01,bus,410704.0
2020-05-01,lirr,501928.0
2020-05-01,metro_north,335868.0
2020-05-01,staten_island_railway,23457.0
2020-05-01,subway,15275851.0
2020-06-01,access_a_ride,346437.0
2020-06-01,bridges_and_tunnels,20315413.0
2020-06-01,bus,658374.0
2020-06-01,lirr,1196635.0
2020-06-01,metro_north,617791.0
2020-06-01,staten_island_railway,41174.0
2020-06-01,subway,23928304.0
2020-07-01,access_a_ride,445334.0
2020-07-01,bridges_and_tunnels,23662900.0
2020-07-01,bus,828108.0
2020-07-01,lirr,1788497.0
2020-07-01,metro_north,914255.0
2020-07-01,staten_island_railway,62300.0
2020-07-01,subway,32508961.0
2020-08-01,access_a_ride,484181.0
2020-08-01,bridges_and_tunnels,24767977.0
2020-08-01,bus,1609110.0
2020-08-01,lirr,1878247.0
2020-08-01,metro_north,954881.0
2020-08-01,staten_island_railway,67904.0
2020-08-01,subway,35197734.0
2020-09-01,access_a_ride,527994.0
2020-09-01,bridges_and_tunnels,24342825.0
2020-09-01,bus,28067094.0
2020-09-01,lirr,2257943.0
2020-09-01,metro_north,1162214.0
2020-09-01,staten_island_railway,77014.0
2020-09-01,subway,42790545.0
2020-10-01,access_a_ride,575534.0
2020-10-01,bridges_and_tunnels,24782515.0
2020-10-01,bus,30114260.0
2020-10-01,lirr,2243992.0
2020-10-01,metro_north,1291434.0
2020-10-01,staten_island_railway,86142.0
2020-10-01,subway,47947097.0
2020-11-01,access_a_ride,541428.0
2020-11-01,bridges_and_tunnels,22204031.0
2020-11-01,bus,27049641.0
2020-11-01,lirr,2127055.0
2020-11-01,metro_north,1071116.0
2020-11-01,staten_island_railway,71913.0
2020-11-01,subway,43624401.0
2020-12-01,access_a_ride,543732.0
2020-12-01,bridges_and_tunnels,21664300.0
2020-12-01,bus,26307109.0
2020-12-01,lirr,1979870.0
2020-12-01,metro_north,1005936.0
2020-12-01,staten_island_railway,71752.0
2020-12-01,subway,43468179.0
2021-01-01,access_a_ride,516280.0
2021-01-01,bridges_and_tunnels,21090759.0
2021-01-01,bus,25035873.0
2021-01-01,lirr,1686485.0
2021-01-01,metro_north,939998.0
2021-01-01,staten_island_railway,71378.0
2021-01-01,subway,41101382.0
2021-02-01,access_a_ride,446034.0
2021-02-01,bridges_and_tunnels,18325306.0
2021-02-01,bus,22875301.0
2021-02-01,lirr,1506979.0
2021-02-01,metro_north,874436.0
2021-02-01,staten_island_railway,66672.0
2021-02-01,subway,39143573.0
2021-03-01,access_a_ride,575774.0
2021-03-01,bridges_and_tunnels,24422791.0
2021-03-01,bus,29700545.0
2021-03-01,lirr,2145813.0
2021-03-01,metro_north,1193444.0
2021-03-01,staten_island_railway,80602.0
2021-03-01,subway,50749540.0
2021-04-01,access_a_ride,577029.0
2021-04-01,bridges_and_tunnels,24980497.0
2021-04-01,bus,30573447.0
2021-04-01,lirr,2248265.0
2021-04-01,metro_north,1318812.0
2021-04-01,staten_island_railway,87093.0
2021-04-01,subway,53261980.0
2021-05-01,access_a_ride,587548.0
2021-05-01,bridges_and_tunnels,26927922.0
2021-05-01,bus,31797784.0
2021-05-01,lirr,2694754.0
2021-05-01,metro_north,1567712.0
2021-05-01,staten_island_railway,91494.0
2021-05-01,subway,58435642.0
2021-06-01,access_a_ride,606724.0
2021-06-01,bridges_and_tunnels,27911778.0
2021-06-01,bus,32745118.0
2021-06-01,lirr,3129252.0
2021-06-01,metro_north,2577124.0
2021-06-01,staten_island_railway,105192.0
2021-06-01,subway,65443761.0
2021-07-01,access_a_ride,592148.0
2021-07-01,bridges_and_tunnels,28107321.0
2021-07-01,bus,32814466.0
2021-07-01,lirr,3314234.0
2021-07-01,metro_north,2710303.0
2021-07-01,staten_island_railway,110529.0
2021-07-01,subway,66940159.0
2021-08-01,access_a_ride,588738.0
2021-08-01,bridges_and_tunnels,28143605.0
2021-08-01,bus,32707261.0
2021-08-01,lirr,3282353.0
2021-08-01,metro_north,2595462.0
2021-08-01,staten_island_railway,112405.0
2021-08-01,subway,66406432.0
2021-09-01,access_a_ride,583472.0
2021-09-01,bridges_and_tunnels,27141285.0
2021-09-01,bus,35736273.0
2021-09-01,lirr,3621793.0
2021-09-01,metro_north,2907323.0
2021-09-01,staten_island_railway,142772.0
2021-09-01,subway,73782781.0
2021-10-01,access_a_ride,613381.0
2021-10-01,bridges_and_tunnels,28154995.0
2021-10-01,bus,38137454.0
2021-10-01,lirr,3913991.0
2021-10-01,metro_north,3326365.0
2021-10-01,staten_island_railway,159120.0
2021-10-01,subway,83447127.0
2021-11-01,access_a_ride,575612.0
2021-11-01,bridges_and_tunnels,26919096.0
2021-11-01,bus,35751726.0
2021-11-01,lirr,4037518.0
2021-11-01,metro_north,3373006.0
2021-11-01,staten_island_railway,160715.0
2021-11-01,subway,82348431.0
2021-12-01,access_a_ride,560623.0
2021-12-01,bridges_and_tunnels,26097408.0
2021-12-01,bus,33762618.0
2021-12-01,lirr,3688380.0
2021-12-01,metro_north,3077661.0
2021-12-01,staten_island_railway,143851.0
2021-12-01,subway,78749438.0
2022-01-01,access_a_ride,467967.0
2022-01-01,bridges_and_tunnels,22104124.0
2022-01-01,bus,28820239.0
2022-01-01,lirr,2806844.0
2022-01-01,metro_north,2253098.0
2022-01-01,staten_island_railway,114512.0
2022-01-01,subway,63734924.0
2022-02-01,access_a_ride,518910.0
2022-02-01,bridges_and_tunnels,23524977.0
2022-02-01,bus,30658017.0
2022-02-01,lirr,3173065.0
2022-02-01,metro_north,2646827.0
2022-02-01,staten_island_railway,127887.0
2022-02-01,subway,70181466.0
2022-03-01,access_a_ride,641793.0
2022-03-01,bridges_and_tunnels,27451595.0
2022-03-01,bus,38160474.0
2022-03-01,lirr,4215882.0
2022-03-01,metro_north,3675165.0
2022-03-01,staten_island_railway,165781.0
2022-03-01,subway,87293930.0
2022-04-01,access_a_ride,622470.0
2022-04-01,bridges_and_tunnels,27469019.0
2022-04-01,bus,35717326.0
2022-04-01,lirr,4109816.0
2022-04-01,metro_north,3703459.0
2022-04-01,staten_island_railway,141518.0
2022-04-01,subway,83273427.0
2022-05-01,access_a_ride,640380.0
2022-05-01,bridges_and_tunnels,28966924.0
2022-05-01,bus,37640891.0
2022-05-01,lirr,4416385.0
2022-05-01,metro_north,3882484.0
2022-05-01,staten_island_railway,155090.0
2022-05-01,subway,87695742.0
2022-06-01,access_a_ride,655987.0
2022-06-01,bridges_and_tunnels,28904011.0
2022-06-01,bus,36705213.0
2022-06-01,lirr,4801931.0
2022-06-01,metro_north,4229859.0
2022-06-01,staten_island_railway,156086.0
2022-06-01,subway,87977903.0
2022-07-01,access_a_ride,640095.0
2022-07-01,bridges_and_tunnels,28791322.0
2022-07-01,bus,34610861.0
2022-07-01,lirr,4415957.0
2022-07-01,metro_north,3893363.0
2022-07-01,staten_island_railway,132609.0
2022-07-01,subway,80514845.0
2022-08-01,access_a_ride,685108.0
2022-08-01,bridges_and_tunnels,29277403.0
2022-08-01,bus,35776375.0
2022-08-01,lirr,4723668.0
2022-08-01,metro_north,4028559.0
2022-08-01,staten_island_railway,142506.0
2022-08-01,subway,82948894.0
2022-09-01,access_a_ride,676732.0
2022-09-01,bridges_and_tunnels,28147021.0
2022-09-01,bus,37419219.0
2022-09-01,lirr,4910681.0
2022-09-01,metro_north,4353106.0
2022-09-01,staten_island_railway,165117.0
2022-09-01,subway,91019574.0
2022-10-01,access_a_ride,696732.0
2022-10-01,bridges_and_tunnels,28396705.0
2022-10-01,bus,38174050.0
2022-10-01,lirr,4861723.0
2022-10-01,metro_north,4549781.0
2022-10-01,staten_island_railway,161014.0
2022-10-01,subway,95120931.0
2022-11-01,access_a_ride,686490.0
2022-11-01,bridges_and_tunnels,26994056.0
2022-11-01,bus,36040114.0
2022-11-01,lirr,4826742.0
2022-11-01,metro_north,4476659.0
2022-11-01,staten_island_railway,165184.0
2022-11-01,subway,90905300.0
2022-12-01,access_a_ride,687417.0
2022-12-01,bridges_and_tunnels,27135705.0
2022-12-01,bus,34224045.0
2022-12-01,lirr,4736076.0
2022-12-01,metro_north,4348140.0
2022-12-01,staten_island_railway,152740.0
2022-12-01,subway,91838943.0
2023-01-01,access_a_ride,691962.0
2023-01-01,bridges_and_tunnels,25818178.0
2023-01-01,bus,35224849.0
2023-01-01,lirr,4529728.0
2023-01-01,metro_north,4156947.0
2023-01-01,staten_island_railway,160109.0
2023-01-01,subway,88999287.0
2023-02-01,access_a_ride,664499.0
2023-02-01,bridges_and_tunnels,23998076.0
2023-02-01,bus,33215878.0
2023-02-01,lirr,4256489.0
2023-02-01,metro_north,3810256.0
2023-02-01,staten_island_railway,142574.0
2023-02-01,subway,84299462.0
2023-03-01,access_a_ride,788072.0
2023-03-01,bridges_and_tunnels,27972335.0
2023-03-01,bus,39859431.0
2023-03-01,lirr,5201989.0
2023-03-01,metro_north,4674161.0
2023-03-01,staten_island_railway,175467.0
2023-03-01,subway,101030692.0
2023-04-01,access_a_ride,731807.0
2023-04-01,bridges_and_tunnels,27475448.0
2023-04-01,bus,35671477.0
2023-04-01,lirr,4917537.0
2023-04-01,metro_north,4471805.0
2023-04-01,staten_island_railway,154853.0
2023-04-01,subway,94198922.0
2023-05-01,access_a_ride,797172.0
2023-05-01,bridges_and_tunnels,29820435.0
2023-05-01,bus,39582710.0
2023-05-01,lirr,5616409.0
2023-05-01,metro_north,5182081.0
2023-05-01,staten_island_railway,180880.0
2023-05-01,subway,104435152.0
2023-06-01,access_a_ride,772662.0
2023-06-01,bridges_and_tunnels,29426984.0
2023-06-01,bus,36208100.0
2023-06-01,lirr,5806179.0
2023-06-01,metro_north,5142381.0
2023-06-01,staten_island_railway,164218.0
2023-06-01,subway,97457013.0
2023-07-01,access_a_ride,758881.0
2023-07-01,bridges_and_tunnels,29376073.0
2023-07-01,bus,34367040.0
2023-07-01,lirr,5418885.0
2023-07-01,metro_north,4721238.0
2023-07-01,staten_island_railway,151400.0
2023-07-01,subway,90797995.0
2023-08-01,access_a_ride,810900.0
2023-08-01,bridges_and_tunnels,29735978.0
2023-08-01,bus,35479692.0
2023-08-01,lirr,5841314.0
2023-08-01,metro_north,4992580.0
2023-08-01,staten_island_railway,165210.0
2023-08-01,subway,93997299.0
2023-09-01,access_a_ride,782194.0
2023-09-01,bridges_and_tunnels,27844819.0
2023-09-01,bus,34880433.0
2023-09-01,lirr,5606594.0
2023-09-01,metro_north,4914087.0
2023-09-01,staten_island_railway,165357.0
2023-09-01,subway,95330225.0
2023-10-01,access_a_ride,847560.0
2023-10-01,bridges_and_tunnels,29074197.0
2023-10-01,bus,36771898.0
2023-10-01,lirr,6014657.0
2023-10-01,metro_north,5446888.0
2023-10-01,staten_island_railway,186874.0
2023-10-01,subway,104296170.0
2023-11-01,access_a_ride,812949.0
2023-11-01,bridges_and_tunnels,27733094.0
2023-11-01,bus,33290217.0
2023-11-01,lirr,5889396.0
2023-11-01,metro_north,5339380.0
2023-11-01,staten_island_railway,175344.0
2023-11-01,subway,98487231.0
2023-12-01,access_a_ride,816102.0
2023-12-01,bridges_and_tunnels,27752348.0
2023-12-01,bus,30988074.0
2023-12-01,lirr,5783396.0
2023-12-01,metro_north,5189977.0
2023-12-01,staten_island_railway,159970.0
2023-12-01,subway,96887660.0
2024-01-01,access_a_ride,810794.0
2024-01-01,bridges_and_tunnels,25443324.0
2024-01-01,bus,31810480.0
2024-01-01,lirr,5420832.0
2024-01-01,metro_north,4803344.0
2024-01-01,staten_island_railway,162838.0
2024-01-01,subway,91711510.0
2024-02-01,access_a_ride,819863.0
2024-02-01,bridges_and_tunnels,25124903.0
2024-02-01,bus,31355350.0
2024-02-01,lirr,5292414.0
2024-02-01,metro_north,4634977.0
2024-02-01,staten_island_railway,155918.0
2024-02-01,subway,90325563.0
2024-03-01,access_a_ride,919687.0
2024-03-01,bridges_and_tunnels,28133513.0
2024-03-01,bus,34122949.0
2024-03-01,lirr,5905341.0
2024-03-01,metro_north,5099701.0
2024-03-01,staten_island_railway,171459.0
2024-03-01,subway,99865795.0
2024-04-01,access_a_ride,907221.0
2024-04-01,bridges_and_tunnels,27663324.0
2024-04-01,bus,33317334.0
2024-04-01,lirr,6016824.0
2024-04-01,metro_north,5388613.0
2024-04-01,staten_island_railway,170296.0
2024-04-01,subway,99951442.0
2024-05-01,access_a_ride,965145.0
2024-05-01,bridges_and_tunnels,29721081.0
2024-05-01,bus,35068922.0
2024-05-01,lirr,6464703.0
2024-05-01,metro_north,5729695.0
2024-05-01,staten_island_railway,184433.0
2024-05-01,subway,105903207.0
2024-06-01,access_a_ride,921745.0
2024-06-01,bridges_and_tunnels,29460314.0
2024-06-01,bus,32526588.0
2024-06-01,lirr,6352639.0
2024-06-01,metro_north,5532330.0
2024-06-01,staten_island_railway,168062.0
2024-06-01,subway,96761954.0
2024-07-01,access_a_ride,951943.0
2024-07-01,bridges_and_tunnels,29332301.0
2024-07-01,bus,32503359.0
2024-07-01,lirr,6399107.0
2024-07-01,metro_north,5570617.0
2024-07-01,staten_island_railway,169748.0
2024-07-01,subway,93987734.0
2024-08-01,access_a_ride,963053.0
2024-08-01,bridges_and_tunnels,29415125.0
2024-08-01,bus,31340557.0
2024-08-01,lirr,6432807.0
2024-08-01,metro_north,5253915.0
2024-08-01,staten_island_railway,163024.0
2024-08-01,subway,92307476.0
2024-09-01,access_a_ride,966290.0
2024-09-01,bridges_and_tunnels,28444427.0
2024-09-01,bus,37040344.0
2024-09-01,lirr,6593144.0
2024-09-01,metro_north,5600027.0
2024-09-01,staten_island_railway,186507.0
2024-09-01,subway,103578757.0
2024-10-01,access_a_ride,1046830.0
2024-10-01,bridges_and_tunnels,29403727.0
2024-10-01,bus,40118895.0
2024-10-01,lirr,7102263.0
2024-10-01,metro_north,6353649.0
2024-10-01,staten_island_railway,208155.0
2024-10-01,subway,113424355.0
